Merge_method,Joint_baseline,Task,Metric,N,Mean_Joint,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
DARE_TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,climate_commitments_actions,f1,3,0.6456,0.6332,-0.0125,0.3522,0.5000,-0.69,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,climate_detection,f1,3,0.9601,0.9473,-0.0129,0.0413,0.2500,-2.75,all_B<A
DARE_TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,climate_specificity,f1,3,0.7015,0.6764,-0.0251,0.2144,0.5000,-1.04,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,climate_sentiment,macro_f1,3,0.7375,0.7405,+0.0030,0.8927,1.0000,0.09,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,netzero_reduction,macro_f1,3,0.9886,0.9892,+0.0006,0.7419,0.6547,0.22,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,tcfd_recommendations,macro_f1,3,0.6291,0.6155,-0.0136,0.3481,0.5000,-0.70,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9442,0.9696,+0.0254,0.1019,0.2500,1.67,all_B>A
DARE_TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,wximpactbench,macro_f1,3,0.2399,0.2617,+0.0218,0.6475,0.7500,0.31,mixed
DARE_TIES_D07,MARK+SYN+LRD,clim_retrieve,f1,3,0.8259,0.8549,+0.0290,0.5202,0.7500,0.45,mixed
DARE_TIES_D07,MARK+SYN+LRD,climate_commitments_actions,f1,3,0.6636,0.6332,-0.0305,0.0252,0.2500,-3.57,all_B<A
DARE_TIES_D07,MARK+SYN+LRD,climate_detection,f1,3,0.9293,0.9473,+0.0179,0.1680,0.2500,1.22,all_B>A
DARE_TIES_D07,MARK+SYN+LRD,climate_specificity,f1,3,0.7011,0.6764,-0.0247,0.0213,0.2500,-3.89,all_B<A
DARE_TIES_D07,MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7808,0.7405,-0.0402,0.1129,0.2500,-1.57,all_B<A
DARE_TIES_D07,MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9898,0.9892,-0.0006,0.4226,0.3173,-0.58,mixed
DARE_TIES_D07,MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6102,0.6155,+0.0053,0.7490,0.7500,0.21,mixed
DARE_TIES_D07,MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9642,0.9696,+0.0055,0.0997,0.2500,1.69,all_B>A
DARE_TIES_D07,MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2472,0.2617,+0.0146,0.4755,0.7500,0.50,mixed
TA_Lambda05,FWEdu+MARK+SYN+LRD,clim_retrieve,f1,3,0.8641,0.8094,-0.0547,0.3489,0.5000,-0.70,mixed
TA_Lambda05,FWEdu+MARK+SYN+LRD,climate_commitments_actions,f1,3,0.5912,0.6751,+0.0839,0.0049,0.2500,8.25,all_B>A
TA_Lambda05,FWEdu+MARK+SYN+LRD,climate_detection,f1,3,0.9507,0.9466,-0.0041,0.2637,0.5000,-0.89,mixed
TA_Lambda05,FWEdu+MARK+SYN+LRD,climate_specificity,f1,3,0.7110,0.6785,-0.0325,0.0634,0.2500,-2.18,all_B<A
TA_Lambda05,FWEdu+MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7392,0.7101,-0.0291,0.1002,0.2500,-1.68,all_B<A
TA_Lambda05,FWEdu+MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9851,0.9910,+0.0059,0.1379,0.2500,1.39,all_B>A
TA_Lambda05,FWEdu+MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6235,0.6034,-0.0201,0.1461,0.2500,-1.34,all_B<A
TA_Lambda05,FWEdu+MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9732,0.9583,-0.0150,0.0309,0.2500,-3.21,all_B<A
TA_Lambda05,FWEdu+MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2435,0.2484,+0.0048,0.9402,1.0000,0.05,mixed
TA_Lambda05,FWEdu+MARK+SYN+ZYDA+LRD,clim_retrieve,f1,3,0.8588,0.8094,-0.0494,0.3729,0.5000,-0.66,mixed
TA_Lambda05,FWEdu+MARK+SYN+ZYDA+LRD,climate_commitments_actions,f1,3,0.6456,0.6751,+0.0295,0.2871,0.5000,0.83,mixed
TA_Lambda05,FWEdu+MARK+SYN+ZYDA+LRD,climate_detection,f1,3,0.9601,0.9466,-0.0135,0.0951,0.2500,-1.74,all_B<A
TA_Lambda05,FWEdu+MARK+SYN+ZYDA+LRD,climate_specificity,f1,3,0.7015,0.6785,-0.0230,0.2219,0.5000,-1.01,mixed
TA_Lambda05,FWEdu+MARK+SYN+ZYDA+LRD,climate_sentiment,macro_f1,3,0.7375,0.7101,-0.0275,0.0336,0.2500,-3.07,all_B<A
TA_Lambda05,FWEdu+MARK+SYN+ZYDA+LRD,netzero_reduction,macro_f1,3,0.9886,0.9910,+0.0024,0.1835,0.1573,1.15,mixed
TA_Lambda05,FWEdu+MARK+SYN+ZYDA+LRD,tcfd_recommendations,macro_f1,3,0.6291,0.6034,-0.0257,0.1599,0.2500,-1.26,all_B<A
TA_Lambda05,FWEdu+MARK+SYN+ZYDA+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9442,0.9583,+0.0140,0.2855,0.5000,0.83,mixed
TA_Lambda05,FWEdu+MARK+SYN+ZYDA+LRD,wximpactbench,macro_f1,3,0.2399,0.2484,+0.0085,0.8968,0.7500,0.08,mixed
TA_Lambda05,MARK+SYN+LRD,clim_retrieve,f1,3,0.8259,0.8094,-0.0164,0.8287,0.7500,-0.14,mixed
TA_Lambda05,MARK+SYN+LRD,climate_commitments_actions,f1,3,0.6636,0.6751,+0.0115,0.4713,0.5000,0.51,mixed
TA_Lambda05,MARK+SYN+LRD,climate_detection,f1,3,0.9293,0.9466,+0.0173,0.2255,0.2500,1.00,all_B>A
TA_Lambda05,MARK+SYN+LRD,climate_specificity,f1,3,0.7011,0.6785,-0.0226,0.0518,0.2500,-2.44,all_B<A
TA_Lambda05,MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7808,0.7101,-0.0707,0.0019,0.2500,-13.08,all_B<A
TA_Lambda05,MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9898,0.9910,+0.0012,0.1835,0.1573,1.15,mixed
TA_Lambda05,MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6102,0.6034,-0.0068,0.6560,1.0000,-0.30,mixed
TA_Lambda05,MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9642,0.9583,-0.0059,0.1894,0.2500,-1.13,all_B<A
TA_Lambda05,MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2472,0.2484,+0.0012,0.9664,1.0000,0.03,mixed
TA_Lambda10,FWEdu+MARK+SYN+LRD,clim_retrieve,f1,3,0.8641,0.8495,-0.0147,0.1847,0.1797,-1.15,mixed
TA_Lambda10,FWEdu+MARK+SYN+LRD,climate_commitments_actions,f1,3,0.5912,0.7118,+0.1206,0.0057,0.2500,7.64,all_B>A
TA_Lambda10,FWEdu+MARK+SYN+LRD,climate_detection,f1,3,0.9507,0.9488,-0.0019,0.6305,1.0000,-0.32,mixed
TA_Lambda10,FWEdu+MARK+SYN+LRD,climate_specificity,f1,3,0.7110,0.6845,-0.0265,0.0631,0.2500,-2.19,all_B<A
TA_Lambda10,FWEdu+MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7392,0.7696,+0.0304,0.3917,0.5000,0.63,mixed
TA_Lambda10,FWEdu+MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9851,0.9916,+0.0065,0.1670,0.2500,1.23,all_B>A
TA_Lambda10,FWEdu+MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6235,0.6134,-0.0101,0.6516,0.7500,-0.30,mixed
TA_Lambda10,FWEdu+MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9732,0.9710,-0.0023,0.4493,0.7500,-0.54,mixed
TA_Lambda10,FWEdu+MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2435,0.2724,+0.0288,0.5681,0.7500,0.39,mixed
TA_Lambda10,FWEdu+MARK+SYN+ZYDA+LRD,clim_retrieve,f1,3,0.8588,0.8495,-0.0093,0.1219,0.2500,-1.50,all_B<A
TA_Lambda10,FWEdu+MARK+SYN+ZYDA+LRD,climate_commitments_actions,f1,3,0.6456,0.7118,+0.0661,0.0401,0.2500,2.79,all_B>A
TA_Lambda10,FWEdu+MARK+SYN+ZYDA+LRD,climate_detection,f1,3,0.9601,0.9488,-0.0113,0.0873,0.2500,-1.82,all_B<A
TA_Lambda10,FWEdu+MARK+SYN+ZYDA+LRD,climate_specificity,f1,3,0.7015,0.6845,-0.0170,0.4091,0.5000,-0.60,mixed
TA_Lambda10,FWEdu+MARK+SYN+ZYDA+LRD,climate_sentiment,macro_f1,3,0.7375,0.7696,+0.0321,0.1921,0.5000,1.12,mixed
TA_Lambda10,FWEdu+MARK+SYN+ZYDA+LRD,netzero_reduction,macro_f1,3,0.9886,0.9916,+0.0030,0.1988,0.2500,1.09,all_B>A
TA_Lambda10,FWEdu+MARK+SYN+ZYDA+LRD,tcfd_recommendations,macro_f1,3,0.6291,0.6134,-0.0157,0.3526,0.5000,-0.69,mixed
TA_Lambda10,FWEdu+MARK+SYN+ZYDA+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9442,0.9710,+0.0268,0.0668,0.2500,2.12,all_B>A
TA_Lambda10,FWEdu+MARK+SYN+ZYDA+LRD,wximpactbench,macro_f1,3,0.2399,0.2724,+0.0325,0.5320,0.7500,0.43,mixed
TA_Lambda10,MARK+SYN+LRD,clim_retrieve,f1,3,0.8259,0.8495,+0.0236,0.5114,0.7500,0.46,mixed
TA_Lambda10,MARK+SYN+LRD,climate_commitments_actions,f1,3,0.6636,0.7118,+0.0482,0.0196,0.2500,4.06,all_B>A
TA_Lambda10,MARK+SYN+LRD,climate_detection,f1,3,0.9293,0.9488,+0.0194,0.1961,0.2500,1.10,all_B>A
TA_Lambda10,MARK+SYN+LRD,climate_specificity,f1,3,0.7011,0.6845,-0.0166,0.0884,0.2500,-1.81,all_B<A
TA_Lambda10,MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7808,0.7696,-0.0112,0.6543,1.0000,-0.30,mixed
TA_Lambda10,MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9898,0.9916,+0.0018,0.0000,0.2500,421.96,all_B>A
TA_Lambda10,MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6102,0.6134,+0.0032,0.6708,0.7500,0.28,mixed
TA_Lambda10,MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9642,0.9710,+0.0068,0.1193,0.2500,1.52,all_B>A
TA_Lambda10,MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2472,0.2724,+0.0252,0.1686,0.2500,1.22,all_B>A
TIES_D05,FWEdu+MARK+SYN+LRD,clim_retrieve,f1,3,0.8641,0.8609,-0.0033,0.8790,1.0000,-0.10,mixed
TIES_D05,FWEdu+MARK+SYN+LRD,climate_commitments_actions,f1,3,0.5912,0.6755,+0.0843,0.1109,0.2500,1.59,all_B>A
TIES_D05,FWEdu+MARK+SYN+LRD,climate_detection,f1,3,0.9507,0.9362,-0.0145,0.0847,0.2500,-1.86,all_B<A
TIES_D05,FWEdu+MARK+SYN+LRD,climate_specificity,f1,3,0.7110,0.6886,-0.0224,0.2405,0.5000,-0.95,mixed
TIES_D05,FWEdu+MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7392,0.7706,+0.0315,0.0382,0.2500,2.87,all_B>A
TIES_D05,FWEdu+MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9851,0.9898,+0.0047,0.2640,0.2500,0.89,all_B>A
TIES_D05,FWEdu+MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6235,0.6140,-0.0095,0.6513,0.7500,-0.30,mixed
TIES_D05,FWEdu+MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9732,0.9653,-0.0080,0.4484,0.7500,-0.54,mixed
TIES_D05,FWEdu+MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2435,0.2851,+0.0415,0.3560,0.5000,0.69,mixed
TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,clim_retrieve,f1,3,0.8588,0.8609,+0.0021,0.8913,1.0000,0.09,mixed
TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,climate_commitments_actions,f1,3,0.6456,0.6755,+0.0299,0.0732,0.2500,2.01,all_B>A
TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,climate_detection,f1,3,0.9601,0.9362,-0.0239,0.0617,0.2500,-2.21,all_B<A
TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,climate_specificity,f1,3,0.7015,0.6886,-0.0129,0.1789,0.2500,-1.17,all_B<A
TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,climate_sentiment,macro_f1,3,0.7375,0.7706,+0.0331,0.0284,0.2500,3.35,all_B>A
TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,netzero_reduction,macro_f1,3,0.9886,0.9898,+0.0012,0.5288,0.7500,0.44,mixed
TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,tcfd_recommendations,macro_f1,3,0.6291,0.6140,-0.0151,0.3375,0.5000,-0.72,mixed
TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9442,0.9653,+0.0210,0.0871,0.2500,1.83,all_B>A
TIES_D05,FWEdu+MARK+SYN+ZYDA+LRD,wximpactbench,macro_f1,3,0.2399,0.2851,+0.0452,0.3490,0.5000,0.70,mixed
TIES_D05,MARK+SYN+LRD,clim_retrieve,f1,3,0.8259,0.8609,+0.0350,0.4862,0.7500,0.49,mixed
TIES_D05,MARK+SYN+LRD,climate_commitments_actions,f1,3,0.6636,0.6755,+0.0119,0.5329,1.0000,0.43,mixed
TIES_D05,MARK+SYN+LRD,climate_detection,f1,3,0.9293,0.9362,+0.0069,0.6204,0.7500,0.33,mixed
TIES_D05,MARK+SYN+LRD,climate_specificity,f1,3,0.7011,0.6886,-0.0125,0.3785,0.1797,-0.65,mixed
TIES_D05,MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7808,0.7706,-0.0101,0.0794,0.2500,-1.92,all_B<A
TIES_D05,MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9898,0.9898,+0.0000,NaN,NaN,nan,identical
TIES_D05,MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6102,0.6140,+0.0038,0.5475,0.7500,0.41,mixed
TIES_D05,MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9642,0.9653,+0.0011,0.8777,1.0000,0.10,mixed
TIES_D05,MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2472,0.2851,+0.0379,0.3555,0.5000,0.69,mixed
TIES_D07,FWEdu+MARK+SYN+LRD,clim_retrieve,f1,3,0.8641,0.8509,-0.0132,0.6623,1.0000,-0.29,mixed
TIES_D07,FWEdu+MARK+SYN+LRD,climate_commitments_actions,f1,3,0.5912,0.7186,+0.1274,0.0679,0.2500,2.10,all_B>A
TIES_D07,FWEdu+MARK+SYN+LRD,climate_detection,f1,3,0.9507,0.9490,-0.0017,0.0868,0.2500,-1.83,all_B<A
TIES_D07,FWEdu+MARK+SYN+LRD,climate_specificity,f1,3,0.7110,0.7066,-0.0044,0.6814,0.7500,-0.27,mixed
TIES_D07,FWEdu+MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7392,0.7559,+0.0167,0.4587,0.5000,0.53,mixed
TIES_D07,FWEdu+MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9851,0.9904,+0.0053,0.1346,0.2500,1.41,all_B>A
TIES_D07,FWEdu+MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6235,0.5965,-0.0270,0.3373,0.5000,-0.72,mixed
TIES_D07,FWEdu+MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9732,0.9671,-0.0062,0.5385,1.0000,-0.42,mixed
TIES_D07,FWEdu+MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2435,0.2694,+0.0258,0.5934,0.7500,0.36,mixed
TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,clim_retrieve,f1,3,0.8588,0.8509,-0.0078,0.7248,1.0000,-0.23,mixed
TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,climate_commitments_actions,f1,3,0.6456,0.7186,+0.0729,0.0365,0.2500,2.94,all_B>A
TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,climate_detection,f1,3,0.9601,0.9490,-0.0112,0.0485,0.2500,-2.53,all_B<A
TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,climate_specificity,f1,3,0.7015,0.7066,+0.0051,0.7253,1.0000,0.23,mixed
TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,climate_sentiment,macro_f1,3,0.7375,0.7559,+0.0184,0.1077,0.2500,1.61,all_B>A
