Merge_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,DARE_TIES_D05_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,DARE_TIES_D07_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TA_Lambda05_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TA_Lambda10_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TIES_D05_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TIES_D07_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD
"accuracy: 0.9170 ± 0.0053 [0.9132075471698113, 0.9132075471698113, 0.9245283018867925]","accuracy: 0.9170 ± 0.0000 [0.9169811320754717, 0.9169811320754717, 0.9169811320754717]","accuracy: 0.9245 ± 0.0000 [0.9245283018867925, 0.9245283018867925, 0.9245283018867925]","accuracy: 0.9132 ± 0.0000 [0.9132075471698113, 0.9132075471698113, 0.9132075471698113]","accuracy: 0.9057 ± 0.0000 [0.9056603773584906, 0.9056603773584906, 0.9056603773584906]","accuracy: 0.9057 ± 0.0000 [0.9056603773584906, 0.9056603773584906, 0.9056603773584906]","accuracy: 0.9132 ± 0.0000 [0.9132075471698113, 0.9132075471698113, 0.9132075471698113]"
,,,,,,
netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:
"micro_f1: 0.9913 ± 0.0000 [0.9912917271407837, 0.9912917271407837, 0.9912917271407837]","micro_f1: 0.9908 ± 0.0014 [0.9898403483309144, 0.9927431059506531, 0.9898403483309144]","micro_f1: 0.9913 ± 0.0012 [0.9927431059506531, 0.9898403483309144, 0.9912917271407837]","micro_f1: 0.9927 ± 0.0000 [0.9927431059506531, 0.9927431059506531, 0.9927431059506531]","micro_f1: 0.9932 ± 0.0007 [0.9941944847605225, 0.9927431059506531, 0.9927431059506531]","micro_f1: 0.9918 ± 0.0007 [0.9927431059506531, 0.9912917271407837, 0.9912917271407837]","micro_f1: 0.9923 ± 0.0014 [0.9912917271407837, 0.9941944847605225, 0.9912917271407837]"
"macro_f1: 0.9892 ± 0.0000 [0.9891860465116279, 0.9891860465116279, 0.9891860465116279]","macro_f1: 0.9886 ± 0.0017 [0.9873982825078579, 0.9909846375315355, 0.9873982825078579]","macro_f1: 0.9892 ± 0.0015 [0.9909846375315355, 0.9873887617594711, 0.9891860465116279]","macro_f1: 0.9910 ± 0.0000 [0.9909846375315355, 0.9909846375315355, 0.9909846375315355]","macro_f1: 0.9916 ± 0.0008 [0.9927906976744186, 0.9909846375315355, 0.9909919726853365]","macro_f1: 0.9898 ± 0.0008 [0.9909846375315355, 0.9891860465116279, 0.9891860465116279]","macro_f1: 0.9904 ± 0.0017 [0.9891860465116279, 0.9927906976744186, 0.9891860465116279]"
"weighted_f1: 0.9913 ± 0.0000 [0.9912881830762481, 0.9912881830762481, 0.9912881830762481]","weighted_f1: 0.9908 ± 0.0014 [0.9898421920673797, 0.9927385157513533, 0.9898421920673797]","weighted_f1: 0.9913 ± 0.0012 [0.9927385157513533, 0.9898383555911296, 0.9912881830762481]","weighted_f1: 0.9927 ± 0.0000 [0.9927385157513533, 0.9927385157513533, 0.9927385157513533]","weighted_f1: 0.9932 ± 0.0007 [0.994192122050832, 0.9927385157513533, 0.9927416825650927]","weighted_f1: 0.9918 ± 0.0007 [0.9927385157513533, 0.9912881830762481, 0.9912881830762481]","weighted_f1: 0.9923 ± 0.0014 [0.9912881830762481, 0.994192122050832, 0.9912881830762481]"
"accuracy: 0.9913 ± 0.0000 [0.9912917271407837, 0.9912917271407837, 0.9912917271407837]","accuracy: 0.9908 ± 0.0014 [0.9898403483309144, 0.9927431059506531, 0.9898403483309144]","accuracy: 0.9913 ± 0.0012 [0.9927431059506531, 0.9898403483309144, 0.9912917271407837]","accuracy: 0.9927 ± 0.0000 [0.9927431059506531, 0.9927431059506531, 0.9927431059506531]","accuracy: 0.9932 ± 0.0007 [0.9941944847605225, 0.9927431059506531, 0.9927431059506531]","accuracy: 0.9918 ± 0.0007 [0.9927431059506531, 0.9912917271407837, 0.9912917271407837]","accuracy: 0.9923 ± 0.0014 [0.9912917271407837, 0.9941944847605225, 0.9912917271407837]"
,,,,,,
tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:
"micro_f1: 0.7158 ± 0.0131 [0.7225, 0.7275, 0.6975]","micro_f1: 0.6717 ± 0.0072 [0.68, 0.6725, 0.6625]","micro_f1: 0.6933 ± 0.0085 [0.685, 0.705, 0.69]","micro_f1: 0.6858 ± 0.0164 [0.705, 0.6875, 0.665]","micro_f1: 0.7000 ± 0.0020 [0.7, 0.6975, 0.7025]","micro_f1: 0.6900 ± 0.0041 [0.69, 0.685, 0.695]","micro_f1: 0.6758 ± 0.0112 [0.6825, 0.66, 0.685]"
