Merge_method,Component,Task,Metric,N,Mean_Component,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
TA_Lambda10,FWEdu+LRD,climate_detection,f1,3,0.9535,0.9488,-0.0047,0.2991,0.2500,-0.80,all_B<A
TA_Lambda10,FWEdu+LRD,climate_specificity,f1,3,0.6951,0.6845,-0.0106,0.4289,0.5000,-0.57,mixed
TA_Lambda10,FWEdu+LRD,climate_sentiment,macro_f1,3,0.7693,0.7696,+0.0003,0.9898,1.0000,0.01,mixed
TA_Lambda10,FWEdu+LRD,netzero_reduction,macro_f1,3,0.9892,0.9916,+0.0024,0.0572,0.2500,2.31,all_B>A
TA_Lambda10,FWEdu+LRD,tcfd_recommendations,macro_f1,3,0.5959,0.6134,+0.0175,0.3306,0.5000,0.74,mixed
TA_Lambda10,FWEdu+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9710,0.9710,+0.0000,0.9983,1.0000,0.00,mixed
TA_Lambda10,FWEdu+LRD,wximpactbench,macro_f1,3,0.2032,0.2724,+0.0692,0.0978,0.2500,1.71,all_B>A
TA_Lambda10,SYN+LRD,clim_retrieve,f1,3,0.8751,0.8495,-0.0256,0.2805,0.5000,-0.85,mixed
TA_Lambda10,SYN+LRD,climate_commitments_actions,f1,3,0.6637,0.7118,+0.0481,0.2049,0.5000,1.07,mixed
TA_Lambda10,SYN+LRD,climate_detection,f1,3,0.9378,0.9488,+0.0110,0.0258,0.2500,3.53,all_B>A
TA_Lambda10,SYN+LRD,climate_specificity,f1,3,0.6937,0.6845,-0.0092,0.4278,0.5000,-0.57,mixed
TA_Lambda10,SYN+LRD,climate_sentiment,macro_f1,3,0.7476,0.7696,+0.0220,0.5158,0.7500,0.45,mixed
TA_Lambda10,SYN+LRD,netzero_reduction,macro_f1,3,0.9904,0.9916,+0.0012,0.1835,0.1797,1.15,mixed
TA_Lambda10,SYN+LRD,tcfd_recommendations,macro_f1,3,0.6111,0.6134,+0.0023,0.7413,0.7500,0.22,mixed
TA_Lambda10,SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9651,0.9710,+0.0059,0.0293,0.2500,3.30,all_B>A
TA_Lambda10,SYN+LRD,wximpactbench,macro_f1,3,0.2498,0.2724,+0.0226,0.6792,0.7500,0.28,mixed
TIES_D05,MARK+LRD,clim_retrieve,f1,3,0.8410,0.8609,+0.0199,0.2687,0.2500,0.88,all_B>A
TIES_D05,MARK+LRD,climate_commitments_actions,f1,3,0.7010,0.6755,-0.0255,0.3482,0.5000,-0.70,mixed
TIES_D05,MARK+LRD,climate_detection,f1,3,0.9363,0.9362,-0.0001,0.9691,1.0000,-0.03,mixed
TIES_D05,MARK+LRD,climate_specificity,f1,3,0.6655,0.6886,+0.0231,0.0282,0.2500,3.36,all_B>A
TIES_D05,MARK+LRD,climate_sentiment,macro_f1,3,0.7768,0.7706,-0.0061,0.0236,0.2500,-3.69,all_B<A
TIES_D05,MARK+LRD,netzero_reduction,macro_f1,3,0.9707,0.9898,+0.0191,0.1631,0.2500,1.25,all_B>A
TIES_D05,MARK+LRD,tcfd_recommendations,macro_f1,3,0.6106,0.6140,+0.0034,0.6493,0.7500,0.31,mixed
TIES_D05,MARK+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9694,0.9653,-0.0042,0.6826,1.0000,-0.27,mixed
TIES_D05,MARK+LRD,wximpactbench,macro_f1,3,0.2574,0.2851,+0.0277,0.5585,0.7500,0.40,mixed
TIES_D05,FWEdu+LRD,clim_retrieve,f1,3,0.8418,0.8609,+0.0191,0.2153,0.2500,1.03,all_B>A
TIES_D05,FWEdu+LRD,climate_commitments_actions,f1,3,0.6796,0.6755,-0.0041,0.9008,1.0000,-0.08,mixed
TIES_D05,FWEdu+LRD,climate_detection,f1,3,0.9535,0.9362,-0.0173,0.0611,0.2500,-2.23,all_B<A
TIES_D05,FWEdu+LRD,climate_specificity,f1,3,0.6951,0.6886,-0.0065,0.7390,1.0000,-0.22,mixed
TIES_D05,FWEdu+LRD,climate_sentiment,macro_f1,3,0.7693,0.7706,+0.0014,0.8664,0.7500,0.11,mixed
TIES_D05,FWEdu+LRD,netzero_reduction,macro_f1,3,0.9892,0.9898,+0.0006,0.4226,0.3173,0.58,mixed
TIES_D05,FWEdu+LRD,tcfd_recommendations,macro_f1,3,0.5959,0.6140,+0.0181,0.2827,0.2500,0.84,all_B>A
TIES_D05,FWEdu+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9710,0.9653,-0.0057,0.6030,1.0000,-0.35,mixed
TIES_D05,FWEdu+LRD,wximpactbench,macro_f1,3,0.2032,0.2851,+0.0819,0.1153,0.2500,1.55,all_B>A
TIES_D05,SYN+LRD,clim_retrieve,f1,3,0.8751,0.8609,-0.0142,0.4987,0.7500,-0.47,mixed
TIES_D05,SYN+LRD,climate_commitments_actions,f1,3,0.6637,0.6755,+0.0119,0.2770,0.2500,0.85,all_B>A
TIES_D05,SYN+LRD,climate_detection,f1,3,0.9378,0.9362,-0.0016,0.6848,0.7500,-0.27,mixed
TIES_D05,SYN+LRD,climate_specificity,f1,3,0.6937,0.6886,-0.0052,0.3725,0.5000,-0.66,mixed
